Evento,Ciudad,Venue,Fecha,Tickets,GP,
Hanabie ,CDMX,Foro Velódromo,10 de Julio,,N,
"P4R4S1T0, S7N y Crown Of Nails",Guadalajara,C3 Roof Top,18 de Julio,,N,
Motley Crue,SLP,Fenapo,8 de Agosto ,Entrada Libre,N,
"Brutal Fest - Goddamn Particle, Homesick of AfterLife, The Brain Rage",CDMX,F*ck off Room - Entrada Libre,16 de agosto,Entrada Libre,Y,
Lacrimosa,CDMX,Arena Ciudad de México,22 y 23 de Agosto,https://www.superboletos.com/landing-evento/wmNN5Dvr78xoNqARZUDIUw,N,
Helloween,CDMX,Arena Ciudad de México,29 de agosto,https://www.superboletos.com/landing-evento/ECKyWzlsVynHjNriKBgMMw,N,
Ladrones,CDMX,Pabellon Oeste,29 de Agosto,https://www.ticketmaster.com.mx/ladrones-mexico-29-08-2026/event/140064758E0D31FF,Y,
Mexafest,Guadalajara,"Cuerda Cultura
Preventa - $150
Día del evento - $200",29 de agosto,https://www.passline.com/eventos/mexafest-gdl,Y,
Helloween,Guadalajara,Teatro Diana,31 de Agosto,https://www.ticketmaster.com.mx/helloween-40-years-anniversary-tour-guadalajara-31-08-2026/event/3D0064928C5029E6,N,
Scorpions,Guadalajara,Auditorio Telmex,7 de Septiembre,https://www.ticketmaster.com.mx/scorpions-zapopan-07-09-2026/event/1400649CE46EE73D,N,
Scorpions,CDMX,Palacio de los Deportes,10 de Septiembre,https://www.ticketmaster.com.mx/scorpions-ciudad-de-mexico-10-09-2026/event/1400649893654C1A,,
Scorpions,Monterrey,Auditorio Banamex,13 de Septiembre,https://www.ticketmaster.com.mx/scorpions-monterrey-13-09-2026/event/140064A6B13DBCC9,,
The Gathering,CDMX,Auditorio BB,10 de Septiembre,https://www.passline.com/eventos-plano/the-gathering-mandylion-30-years-anniversary,N,
